"method","method_setting","condition_id","relative_bias","relative_bias_mcse"
"SM","3PSM",4,0.0158114566261674,0.0405592890183017
"SM","3PSM",5,NA,NA
"SM","3PSM",6,-0.00511215870340421,0.00887340058798504
"SM","3PSM",7,NA,NA
"SM","3PSM",8,0.000927489599874003,0.0132667224537501
"SM","4PSM",1,NA,NA
"SM","4PSM",2,-0.0568600694988534,0.0429860576466562
"SM","4PSM",3,NA,NA
"SM","4PSM",4,0.00469063201092733,0.0585187473478845
"SM","4PSM",5,NA,NA
"SM","4PSM",6,-0.023132783277089,0.0104447714311805
"SM","4PSM",7,NA,NA
"SM","4PSM",8,0.0167458350593833,0.0153793842069941
"puniform","default",1,NA,NA
"puniform","default",2,-0.430769810779623,0.200528497126244
"puniform","default",3,NA,NA
"puniform","default",4,0.206142127586295,0.080185563464833
"puniform","default",5,NA,NA
"puniform","default",6,-0.0143729866092798,0.0172449826605622
"puniform","default",7,NA,NA
"puniform","default",8,0.300621483080417,0.0168673625365065
"puniform","star",1,NA,NA
"puniform","star",2,-0.00860749474193268,0.0357318018306576
"puniform","star",3,NA,NA
"puniform","star",4,0.0118896189649022,0.0399231964773984
"puniform","star",5,NA,NA
"puniform","star",6,-0.00742422251558199,0.00920488157545085
"puniform","star",7,NA,NA
"puniform","star",8,0.0020205588873655,0.0134581065242533
"pcurve","default",1,NA,NA
"pcurve","default",2,12.3331324908598,0
"pcurve","default",3,NA,NA
"pcurve","default",4,12.3331324908598,0
"pcurve","default",5,NA,NA
"pcurve","default",6,12.3331324908598,0
"pcurve","default",7,NA,NA
"pcurve","default",8,12.3331324908598,0
"EK","default",1,NA,NA
"EK","default",2,-0.126914188268192,0.0779085569390614
"EK","default",3,NA,NA
"EK","default",4,-0.0274505750732398,0.0944949443614005
"EK","default",5,NA,NA
"EK","default",6,-0.0205429222040804,0.0185283339334793
"EK","default",7,NA,NA
"EK","default",8,0.0184051648355022,0.0280978335666328
"AK","AK1",1,NA,NA
"AK","AK1",2,0.00323445024313114,0.0318755134261056
"AK","AK1",3,NA,NA
"AK","AK1",4,0.0411672084556096,0.0375285973423984
"AK","AK1",5,NA,NA
"AK","AK1",6,-0.00494435303843099,0.00871876913580365
"AK","AK1",7,NA,NA
"AK","AK1",8,0.00746014541418507,0.0124896802981809
"AK","AK2",1,NA,NA
"AK","AK2",2,0.440534355578014,0.187609960152308
"AK","AK2",3,NA,NA
"AK","AK2",4,-0.0788875605718745,0.830775903426068
"AK","AK2",5,NA,NA
"AK","AK2",6,0.0249474566075453,0.0241292356010107
"AK","AK2",7,NA,NA
"AK","AK2",8,0.0521464726726971,0.0341049881629807
"RoBMA","PSMA",1,NA,NA
"RoBMA","PSMA",2,-0.39758869486041,0.029706485014824
"RoBMA","PSMA",3,NA,NA
"RoBMA","PSMA",4,-0.417407873109894,0.0354907869189985
"RoBMA","PSMA",5,NA,NA
"RoBMA","PSMA",6,-0.0331707121894177,0.0063269660537215
"RoBMA","PSMA",7,NA,NA
"RoBMA","PSMA",8,-0.0365871141441742,0.0106362477534942
